Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",83.693000,-92.517000,-90.000000,top
"C2","100nF","C_0805_2012Metric",90.424000,-87.310000,90.000000,top
"C3","100nF","C_0805_2012Metric",87.884000,-88.707000,90.000000,top
"C4","100nF","C_0805_2012Metric",85.344000,-88.707000,90.000000,top
"D1","LED","LED_0603_1608Metric",99.669500,-85.471000,0.000000,top
"D2","LED","LED_0603_1608Metric",99.720500,-91.059000,0.000000,top
"D3","LESD5D5.0CT1G","TVS_LESD5D5.0CT1G",84.709000,-96.545000,90.000000,top
"D4","LESD5D5.0CT1G","TVS_LESD5D5.0CT1G",88.519000,-96.418000,90.000000,top
"D5","LESD5D5.0CT1G","TVS_LESD5D5.0CT1G",81.280000,-96.418000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",74.676000,-92.204000,-90.000000,top
"J2","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Horizontal",109.407000,-87.249000,0.000000,top
"R1","5.1K","R_0402_1005Metric",80.899000,-88.140000,90.000000,top
"R2","5.1K","R_0402_1005Metric",82.550000,-88.140000,90.000000,top
"R3","10K","R_0402_1005Metric",91.569000,-96.520000,0.000000,top
"R4","1K","R_0402_1005Metric",99.058000,-96.266000,180.000000,top
"R5","1K","R_0402_1005Metric",99.058000,-98.552000,180.000000,top
"R6","1K","R_0402_1005Metric",99.185000,-87.630000,180.000000,top
"R7","1K","R_0402_1005Metric",99.058000,-93.980000,180.000000,top
"U1","CP2102N-Axx-xQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",93.472000,-92.202000,0.000000,top
